ID,Center_X,Center_Y,Major_px,Minor_px,Orientation_deg,Impact_angle_deg,Stain_type
1,712,449,143.5,109.18,76.58,49.5,ELLIPTICAL (medium)
2,368,499,330.62,286.22,53.94,60.0,ELLIPTICAL (medium)
