ID,Center_X,Center_Y,Major_px,Minor_px,Orientation_deg,Impact_angle_deg,Stain_type
1,613,735,217.47,160.71,50.43,47.6,ELLIPTICAL (medium)
2,599,124,78.26,48.87,87.75,38.6,ELONGATED (shallow)
