ID,Center_X,Center_Y,Major_px,Minor_px,Orientation_deg,Impact_angle_deg,Stain_type
1,240,692,94.45,53.18,77.83,34.3,ELONGATED (shallow)
2,150,667,49.11,31.68,95.49,40.2,ELONGATED (shallow)
4,77,424,126.86,77.24,95.12,37.5,ELONGATED (shallow)
5,420,537,340.87,227.88,41.08,42.0,ELONGATED (shallow)
6,801,47,2774.2,98.48,91.18,2.0,VERY SHALLOW (glancing)
