ID,Center_X,Center_Y,Major_px,Minor_px,Orientation_deg,Impact_angle_deg,Stain_type
1,303,202,68.42,42.56,59.05,38.5,ELONGATED (shallow)
2,149,171,221.89,150.92,114.14,42.9,ELONGATED (shallow)
