ID,Center_X,Center_Y,Major_px,Minor_px,Orientation_deg,Impact_angle_deg,Stain_type
1,485,478,44.62,34.21,85.37,50.1,ELLIPTICAL (medium)
2,751,576,397.63,293.74,112.09,47.6,ELLIPTICAL (medium)
